DEFECT_ID,Title,Severity,Priority,Area,Location,RootCause,Evidence,Fix,Status
DEF-001,Responsible-play limits/cooling-off/self-exclusion not enforced on bet path,Critical,P0,Backend/Compliance,platform/apps/api/src/app.js (bet endpoint / rp comment),Enforcement was a bare comment; bet endpoint had no responsible-play check,Runtime: self-excluded user bet accepted; regression test now asserts 403,Added shared rpStatus() helper and 403 guard in /api/wallet/bet,Verified
DEF-002,Self-exclusion & cooling-off silently wiped by any responsible-play save,Critical,P0,Backend/Compliance,platform/apps/api/src/app.js POST /api/account/responsible-play,UPDATE branch set self_excluded_until/cooling_off_until = NULL on every save,Runtime repro: selfExcludedUntil set then null after unrelated save (HTTP 200),Rewrote as safe upsert; self-exclusion set/extend only never cleared/shortened; cooling-off only set when supplied,Verified
DEF-003,POST responsible-play insert branch throws ReferenceError + malformed SQL,Critical,P0,Backend,platform/apps/api/src/app.js POST /api/account/responsible-play (else branch),"const sets referenced out of scope; garbage column construction",Runtime repro: 500 internal_error (ReferenceError: sets is not defined),Removed insert branch; INSERT ... ON CONFLICT DO NOTHING then single UPDATE,Verified
DEF-004,Password change returns 500 but password already changed,Critical,P0,Backend/Data integrity,platform/apps/api/src/app.js POST /api/account/password/change,Invalid SQL 'id NOT (SELECT ...)' run after non-transactional password UPDATE,Runtime repro: change=500 then old-pw login 401 / new-pw login 200,Wrapped in transaction; DELETE sessions WHERE token_hash<>current; keeps caller signed in,Verified
DEF-005,Account deletion impossible (deletes append-only ledger),Critical,P0,Backend/Privacy,platform/apps/api/src/app.js POST /api/account/delete,DELETE FROM wallet_ledger violates ledger_no_delete trigger -> transaction aborts 500,Migration 001 triggers; regression test asserts 200 + ledger preserved,Anonymise user (single UPDATE) + delete sessions/device_sessions/favorites; ledger retained,Verified
DEF-006,Lobby not buildable (stray brace in AccountPanel.jsx),High,P0,Frontend/Build,platform/apps/lobby/src/AccountPanel.jsx,WIP diff left a duplicate '}' after return fragment; not covered by unit tests,vite build failed: Unexpected token AccountPanel.jsx:12,Removed stray brace,Verified
DEF-007,Responsible Play feature unreachable from UI,High,P1,Frontend,platform/apps/lobby/src/main.jsx,No control ever set respPlay=true; component rendered on dead state,Static: grep found no setRespPlay(true); ResponsibleCheckBanner imported unused,Wired 'Play responsibly' button + restriction banner into AccountPanel; removed dead main.jsx wiring,Fixed (UI click-through residual)
DEF-008,Delete-account UI never sends password -> always 401,High,P1,Frontend,platform/apps/lobby/src/AccountSettings.jsx DangerTab,api.deleteAccount() called with no argument,Code review: deleteAccount(password) receives undefined -> body {} -> 401,Added password input; deleteAccount(pwd) with error handling,Fixed (UI click-through residual)
DEF-009,Device management non-functional,High,P1,Backend,platform/apps/api/src/app.js device endpoints + login/register,device_sessions never populated; revoke-others compared session_id to raw token; single-revoke read token_hash after deleting row,Runtime: GET devices always []; regression test now asserts 2 devices + revoke-others,Record device_sessions on register/login; fixed revoke ordering + token_hash matching,Verified
DEF-010,Daily-loss check counts winning sessions as loss; string/TZ date compare,Medium,P2,Backend,platform/apps/api/src/app.js rpStatus loss calc,Math.abs(net) treats net-positive as loss; created_at compared to bare string,Code review,Use max(0,-net); UTC day-boundary Date param,Verified
DEF-011,Email change not checked for uniqueness -> potential 500,Medium,P2,Backend,platform/apps/api/src/app.js email request-verify/verify,UPDATE users SET email without uniqueness guard could hit 23505,Regression test asserts 409 email_exists,Added uniqueness guard in request-verify and verify (returns 409),Verified
DEF-012,Root eslint gate crashes on load,Medium,P2,Tooling/DX,eslint.config.js + package.json,Imports uninstalled plugins; nonexistent rule no-redundant-jsx; import/* without plugin; ESLint 10 incompatible with eslint-plugin-react,npm run lint: ERR_MODULE_NOT_FOUND then rule crash,Rewrote flat config (correctness-focused); pinned eslint ^9; fixed 1 real unused import it surfaced,Verified
DEF-013,Dev/E2E harness missing migrations 006/007/008 + gen_random_uuid,Medium,P2,Tooling,platform/apps/api/src/memory.js,Harness loaded only 001-005; account tables absent; masks ledger trigger,Boot smoke test now serves /api/account/responsible-play,Added 007/008 (index-stripped) + gen_random_uuid registration,Verified
